wordid,lemma,N
123724,spell,10
123958,spill,10
124075,spiral,10
124619,spur,10
125019,stage,10
125096,stake,10
125563,steady,10
125727,stem,10
126068,sting,10
126672,stream,10
126945,strong,10
127477,submit,10
127914,suit,10
128538,sure,10
128555,surface,10
129822,tag,10
133913,tongue,10
134708,tramp,10
134855,translate,10
135091,tread,10
135128,treat,10
112692,romance,10
113557,runner,10
115674,scene,10
115843,school,10
116251,scrape,10
116318,screw,10
136045,try,10
137725,under,10
137763,undercut,10
142477,vote,10
143166,water,10
143450,waver,10
143744,weight,10
143939,west,10
145480,wish,10
146968,yoke,10
147215,zero,10
98454,perch,10
101275,plant,10
101893,plunge,10
102225,poke,10
103331,pot,10
103670,practice,10
95668,pace,10
95783,paddle,10
96284,panel,10
97204,passage,10
97506,pattern,10
97984,peg,10
80935,maintain,10
81033,"make out",10
81727,mantle,10
85863,moderate,10
49565,flood,10
50856,fox,10
52009,function,10
53251,general,10
53445,gentle,10
44949,explode,10
44996,expose,10
45005,exposure,10
45164,extract,10
45450,factor,10
47112,far,10
48547,fine,10
59184,grace,10
59333,grand,10
60182,grip,10
60257,gross,10
60408,grow,10
60737,gum,10
68173,inactive,10
68707,indifferent,10
69602,inside,10
69980,interest,10
70399,introduce,10
71590,james,10
73981,king,10
74353,knot,10
74762,labor,10
76290,lean,10
76470,left,10
77410,lie,10
78386,little,10
78522,living,10
78793,lodge,10
79300,lose,10
79315,lost,10
79459,love,10
61641,hammer,10
62666,heart,10
64632,hole,10
67167,idle,10
62298,hatch,9
64664,hollow,9
65170,hop,9
65183,hope,9
67332,ill,9
44658,excuse,9
45024,expression,9
47281,fat,9
47314,father,9
47408,favor,9
47418,favour,9
48311,fight,9
48370,file,9
48476,fin,9
79957,lurch,9
81042,"make up",9
82077,market,9
82414,mask,9
84052,mesh,9
84733,middle,9
85046,mill,9
85746,mix,9
49598,flop,9
49825,flutter,9
50281,"force out",9
50306,ford,9
50466,forge,9
50491,fork,9
50901,fracture,9
52026,fund,9
52247,g,9
52326,gag,9
74738,label,9
75531,lapse,9
76092,lay,9
76280,leak,9
76442,lee,9
76510,leg,9
77797,limit,9
79319,lot,9
67917,impression,9
68383,incompatible,9
69750,instrument,9
70509,inversion,9
70569,invite,9
72089,jet,9
72290,jog,9
37528,dispatch,9
39197,drill,9
39433,drum,9
40187,early,9
40226,earth,9
40269,ease,9
40528,echo,9
42233,encounter,9
42690,enter,9
25562,class,9
25993,climb,9
26146,clog,9
26201,closed,9
27014,coil,9
27452,column,9
27611,comfort,9
28283,composition,9
28551,conclusion,9
28779,conflict,9
28996,connection,9
29105,consider,9
29607,conversion,9
30048,corn,9
763,absorb,9
795,abstract,9
13117,bench,9
13443,best,9
14777,blade,9
14816,blank,9
15479,blunt,9
16162,boot,9
17170,breathe,9
17404,"bring out",9
17519,broad,9
17960,bubble,9
18007,buck,9
18107,buffer,9
18386,bunk,9
18623,bush,9
6950,appeal,9
8877,associate,9
8912,assume,9
10662,background,9
11199,ban,9
11585,bark,9
11944,bass,9
18662,business,9
18842,button,9
19563,caller,9
20305,capacity,9
20694,capsule,9
21719,casual,9
23024,challenge,9
23094,chance,9
23325,charles,9
23528,cheat,9
30837,couple,9
31617,crisp,9
31906,crow,9
32586,curse,9
35942,development,9
36720,dinar,9
36964,direction,9
92490,off,9
92737,old,9
93155,one,9
93292,only,9
94872,"out of the way",9
95257,overhead,9
95827,page,9
95915,pair,9
96437,paper,9
97065,particular,9
110811,resolve,9
110838,respect,9
111111,retrograde,9
112043,rip,9
112232,roar,9
112392,rock,9
113915,sacrifice,9
113939,saddle,9
114458,salt,9
114515,salute,9
115498,scallop,9
115523,scan,9
116688,search,9
116996,security,9
117465,sell,9
117736,sense,9
117866,separation,9
118627,shank,9
119650,sick,9
119816,sight,9
120214,simple,9
120783,size,9
121113,slash,9
121205,sleeper,9
121331,sling,9
121407,slop,9
121610,smart,9
121785,smut,9
121815,snake,9
86250,monitor,9
86533,moon,9
87516,muller,9
89108,near,9
89301,neglect,9
89622,nest,9
90378,nip,9
91194,north,9
92123,observe,9
